,R_t3
8,5e-05
9,6e-05
10,9e-05
11,8e-05
12,0.00013
13,0.0001
14,0.00011
15,0.00011
16,0.00012
17,0.00016
18,0.00014
19,0.00018
20,0.00019
21,0.00027
22,0.00024
23,0.00031
24,0.00026
25,0.00031
26,0.00023
27,0.00043
28,0.00059
29,0.00059
30,0.00076
31,0.00104
32,0.00099
33,0.00104
34,0.00066
35,0.00073
36,0.00068
37,0.00083
38,0.00086
39,0.00089
40,0.00116
41,0.0012
42,0.00114
43,0.00109
44,0.00116
45,0.0012
46,0.00106
47,0.00105
48,0.00121
49,0.00119
50,0.00127
51,0.00114
52,0.00123
53,0.00145
54,0.00139
55,0.00143
56,0.0019
57,0.00159
58,0.00155
59,0.00161
60,0.00158
61,0.00189
62,0.00172
63,0.00213
64,0.00156
65,0.00146
66,0.0015
67,0.00148
68,0.00144
69,0.00146
70,0.00172
71,0.00172
72,0.0018
73,0.00172
74,0.00171
75,0.00268
76,0.00249
77,0.0025
78,0.00255
79,0.00279
80,0.00258
81,0.00252
82,0.00278
83,0.00275
84,0.00279
85,0.00287
86,0.0028
87,0.00288
88,0.00394
89,0.00388
90,0.00399
91,0.0039
92,0.0043
93,0.00449
94,0.00474
95,0.00475
96,0.00463
97,0.00467
98,0.00472
99,0.00483
100,0.00469
101,0.00851
102,0.00617
103,0.00606
104,0.00784
105,0.00745
106,0.00749
107,0.00761
108,0.00698
109,0.00741
110,0.00736
111,0.00751
112,0.00787
113,0.00721
114,0.00754
115,0.00755
116,0.00696
117,0.00776
118,0.00776
119,0.00895
120,0.00908
121,0.00917
122,0.00916
123,0.01161
124,0.01093
125,0.01155
126,0.01124
127,0.01667
128,0.01516
129,0.01341
130,0.01342
131,0.01614
132,0.01331
133,0.01342
134,0.01466
135,0.01442
136,0.01538
137,0.01539
138,0.01762
139,0.0174
140,0.02031
141,0.02788
142,0.02536
143,0.02726
144,0.02855
145,0.03559
146,0.02921
147,0.02941
148,0.03402
149,0.03153
150,0.02944
151,0.02877
152,0.02946
153,0.02963
154,0.02901
155,0.03368
156,0.03808
157,0.03509
158,0.0353
159,0.03507
160,0.0349
161,0.03524
162,0.03797
163,0.03853
164,0.0393
165,0.03692
166,0.03641
167,0.03779
168,0.03941
169,0.03754
170,0.03727
171,0.03876
172,0.03839
173,0.04285
174,0.05768
175,0.0428
176,0.04172
177,0.04198
178,0.04854
179,0.04189
180,0.0415
181,0.04143
182,0.04158
183,0.044
184,0.04542
185,0.05193
186,0.0509
187,0.05185
188,0.05994
189,0.0562
190,0.05353
191,0.05304
192,0.05468
193,0.05645
194,0.06285
195,0.0535
196,0.05341
197,0.05699
198,0.05447
199,0.0558
200,0.06219
201,0.06724
202,0.06311
203,0.06275
204,0.06603
205,0.07038
206,0.06493
207,0.06624
208,0.07829
209,0.06818
210,0.07143
211,0.0685
212,0.06906
213,0.06827
214,0.07143
215,0.07009
216,0.07139
217,0.0689
218,0.07359
219,0.07148
220,0.06991
221,0.06953
222,0.07301
223,0.06996
224,0.07623
225,0.07212
226,0.07379
227,0.07005
228,0.07308
229,0.07512
230,0.07084
231,0.08283
232,0.08699
233,0.09864
234,0.08488
235,0.08839
236,0.08516
237,0.10908
238,0.11048
239,0.10413
240,0.10437
241,0.11014
242,0.10549
243,0.11861
244,0.11562
245,0.11582
246,0.15022
247,0.13127
248,0.12494
249,0.1316
250,0.12625
251,0.13306
252,0.12671
253,0.12925
254,0.13216
255,0.13299
256,0.12715
257,0.1333
258,0.13071
259,0.13278
260,0.13291
261,0.13659
262,0.1307
263,0.14739
264,0.15972
265,0.16314
266,0.14623
267,0.16086
268,0.15312
269,0.15084
270,0.15326
271,0.1517
272,0.15173
273,0.1562
274,0.1495
275,0.16531
276,0.15066
277,0.15384
278,0.16102
279,0.16752
280,0.15194
281,0.16398
282,0.1501
283,0.15702
284,0.15468
285,0.16283
286,0.15329
287,0.16206
288,0.15427
289,0.15973
290,0.17693
291,0.18825
292,0.17343
293,0.18527
294,0.17422
295,0.18031
296,0.1763
297,0.18137
298,0.17556
299,0.18751
300,0.177
301,0.18394
302,0.17749
303,0.19426
304,0.18895
305,0.18857
306,0.18271
307,0.19313
308,0.18617
309,0.19088
310,0.19257
311,0.19228
312,0.18639
313,0.21159
314,0.20553
315,0.21771
316,0.2404
317,0.23449
318,0.23776
319,0.24601
320,0.24022
321,0.25202
322,0.23988
323,0.26851
324,0.23842
325,0.24757
326,0.26531
327,0.26383
328,0.26231
329,0.26104
330,0.26926
331,0.30132
332,0.29422
333,0.28958
334,0.31844
335,0.3228
336,0.31924
337,0.32492
338,0.31869
339,0.32567
340,0.34199
341,0.33602
342,0.3264
343,0.32362
344,0.33806
345,0.33265
346,0.33562
347,0.35195
348,0.37505
349,0.38625
350,0.38983
351,0.3921
352,0.39563
353,0.39603
354,0.40661
355,0.41155
356,0.3935
357,0.41184
358,0.39849
359,0.43076
360,0.42627
361,0.4918
362,0.49885
363,0.49183
364,0.50523
365,0.49232
366,0.50776
367,0.52452
368,0.53198
369,0.51878
370,0.52573
371,0.52522
372,0.56439
373,0.57578
374,0.56823
375,0.59628
376,0.56917
377,0.57488
378,0.56992
379,0.57199
380,0.58108
381,0.56716
382,0.57299
383,0.56784
384,0.57413
385,0.62291
386,0.64659
387,0.66076
388,0.64789
389,0.65455
390,0.6548
391,0.65162
392,0.67915
393,0.65582
394,0.64714
395,0.72254
396,0.7238
397,0.72021
398,0.7232
399,0.72946
400,0.7215
401,0.71547
402,0.72554
403,0.72651
